Date,Day_of_Week,Daily_Revenue,Covers
1/8/2016,Friday,15173.01,356
1/9/2016,Saturday,14013.67,329
1/10/2016,Sunday,6422.48,150
1/11/2016,Monday,3912.2,91
1/12/2016,Tuesday,4603.27,108
1/13/2016,Wednesday,6893.15,162
1/14/2016,Thursday,8686.75,204
1/15/2016,Friday,14689.91,345
1/16/2016,Saturday,13548.91,318
1/17/2016,Sunday,6505.78,152
1/18/2016,Monday,3136.23,73
1/19/2016,Tuesday,5526.17,129
1/20/2016,Wednesday,6167.97,144
1/21/2016,Thursday,8940.86,210
1/22/2016,Friday,16632.04,390
1/23/2016,Saturday,15541.16,365
1/24/2016,Sunday,6830.55,160
1/25/2016,Monday,3345.95,78
1/26/2016,Tuesday,5515.7,129
1/27/2016,Wednesday,7159.04,168
1/28/2016,Thursday,8126.57,190
1/29/2016,Friday,15338.77,360
1/30/2016,Saturday,16260.81,382
1/31/2016,Sunday,5691.85,133
2/1/2016,Monday,3684.93,86
2/2/2016,Tuesday,5282.97,124
2/3/2016,Wednesday,7995.01,187
2/4/2016,Thursday,9265.2,217
2/5/2016,Friday,17330.53,407
2/6/2016,Saturday,18090.16,425
2/7/2016,Sunday,7645.08,179
2/8/2016,Monday,4229.53,99
2/9/2016,Tuesday,5009.24,117
2/10/2016,Wednesday,4333.72,101
2/11/2016,Thursday,9096.28,213
2/12/2016,Friday,16619.4,390
2/13/2016,Saturday,17179.6,403
2/14/2016,Sunday,6780.57,159
2/15/2016,Monday,4383.3,103
2/16/2016,Tuesday,5138.75,120
2/17/2016,Wednesday,7806.21,183
2/18/2016,Thursday,10289.49,241
2/19/2016,Friday,18112.51,425
2/20/2016,Saturday,17633.62,414
2/21/2016,Sunday,7183.93,168
2/22/2016,Monday,3780.79,88
2/23/2016,Tuesday,5133.41,120
2/24/2016,Wednesday,8165.58,191
2/25/2016,Thursday,9181.63,215
2/26/2016,Friday,18371.36,431
2/27/2016,Saturday,15457.32,363
2/28/2016,Sunday,7054.96,165
2/29/2016,Monday,4239.17,99
3/1/2016,Tuesday,6085.09,143
3/2/2016,Wednesday,7804.99,183
3/3/2016,Thursday,11691.87,274
3/4/2016,Friday,19140.43,449
3/5/2016,Saturday,18582.34,436
3/6/2016,Sunday,7631.99,179
3/7/2016,Monday,4053.08,95
3/8/2016,Tuesday,5431.12,127
3/9/2016,Wednesday,9266.04,217
3/10/2016,Thursday,10731.95,252
3/11/2016,Friday,20935.28,492
3/12/2016,Saturday,20222.44,475
3/13/2016,Sunday,8073.57,189
3/14/2016,Monday,4279.84,100
3/15/2016,Tuesday,6614.61,155
3/16/2016,Wednesday,8001.71,188
3/17/2016,Thursday,10817.2,254
3/18/2016,Friday,17250.19,405
3/19/2016,Saturday,17894.11,420
3/20/2016,Sunday,7230.93,169
3/21/2016,Monday,4080.99,95
3/22/2016,Tuesday,6475.07,152
3/23/2016,Wednesday,7910.35,185
3/24/2016,Thursday,11612.2,272
3/25/2016,Friday,16746.88,393
3/26/2016,Saturday,18680.97,439
3/27/2016,Sunday,748.325,17
3/28/2016,Monday,4800.5,112
3/29/2016,Tuesday,5629.77,132
3/30/2016,Wednesday,9515.01,223
3/31/2016,Thursday,9482.25,222
4/1/2016,Friday,23815.18,559
4/2/2016,Saturday,23531.72,553
4/3/2016,Sunday,10815.21,254
4/4/2016,Monday,5985.72,140
4/5/2016,Tuesday,7561.62,177
4/6/2016,Wednesday,11489.34,270
4/7/2016,Thursday,16171.12,380
4/8/2016,Friday,29309.34,688
4/9/2016,Saturday,27782.77,652
4/10/2016,Sunday,10233.53,240
4/11/2016,Monday,5452,128
4/12/2016,Tuesday,8898.72,209
4/13/2016,Wednesday,11843.89,278
4/14/2016,Thursday,14182.89,333
4/15/2016,Friday,62915.2,1478
4/16/2016,Saturday,27523.25,646
4/17/2016,Sunday,11431.69,268
4/18/2016,Monday,6578.26,154
4/19/2016,Tuesday,8038.59,188
4/20/2016,Wednesday,11105.56,261
4/21/2016,Thursday,14892.87,350
4/22/2016,Friday,27352.23,642
4/23/2016,Saturday,23766.72,558
4/24/2016,Sunday,10856,255
4/25/2016,Monday,5621.8,132
4/26/2016,Tuesday,7989.04,187
4/27/2016,Wednesday,11315.44,265
4/28/2016,Thursday,13077.59,307
4/29/2016,Friday,25002.85,587
4/30/2016,Saturday,24815.84,583
5/1/2016,Sunday,12069.58,283
5/2/2016,Monday,6485.46,152
5/3/2016,Tuesday,8603.05,202
5/4/2016,Wednesday,11731.81,275
5/5/2016,Thursday,15037.05,353
5/6/2016,Friday,30275.7,711
5/7/2016,Saturday,26019.9,611
5/8/2016,Sunday,12224.89,287
5/9/2016,Monday,7107.8,167
5/10/2016,Tuesday,8827.36,207
5/11/2016,Wednesday,12004.93,282
5/12/2016,Thursday,16896.6,397
5/13/2016,Friday,27914.34,656
5/14/2016,Saturday,30019.16,705
5/15/2016,Sunday,11397.1,267
5/16/2016,Monday,5997.74,140
5/17/2016,Tuesday,8483.15,199
5/18/2016,Wednesday,11740.18,275
5/19/2016,Thursday,14043.38,330
5/20/2016,Friday,26341,619
5/21/2016,Saturday,29746.04,699
5/22/2016,Sunday,12362.8,290
5/23/2016,Monday,7016.57,164
5/24/2016,Tuesday,9483.13,222
5/25/2016,Wednesday,13082.37,307
5/26/2016,Thursday,15604.24,366
5/27/2016,Friday,27454.44,645
5/28/2016,Saturday,26430.05,621
5/29/2016,Sunday,13250.36,311
5/30/2016,Monday,6620.52,155
5/31/2016,Tuesday,8237.08,193
6/1/2016,Wednesday,14293.64,335
6/2/2016,Thursday,17865.1,419
6/3/2016,Friday,26066.76,612
6/4/2016,Saturday,27812.51,653
6/5/2016,Sunday,11737.21,275
6/6/2016,Monday,6390.97,150
6/7/2016,Tuesday,8581.38,201
6/8/2016,Wednesday,14590.33,342
6/9/2016,Thursday,14603.5,343
6/10/2016,Friday,28351.97,666
6/11/2016,Saturday,28205.11,662
6/12/2016,Sunday,12195.64,286
6/13/2016,Monday,6906.75,162
6/14/2016,Tuesday,8578.67,201
6/15/2016,Wednesday,13379.17,314
6/16/2016,Thursday,14640.1,344
6/17/2016,Friday,29515,693
6/18/2016,Saturday,26018.11,611
6/19/2016,Sunday,12634.37,296
6/20/2016,Monday,6594.72,154
6/21/2016,Tuesday,8506.75,199
6/22/2016,Wednesday,13886.17,326
6/23/2016,Thursday,15148.82,356
6/24/2016,Friday,28777.97,676
6/25/2016,Saturday,32069.25,753
6/26/2016,Sunday,12391.41,291
6/27/2016,Monday,7271.99,170
6/28/2016,Tuesday,9644.38,226
6/29/2016,Wednesday,12076.14,283
6/30/2016,Thursday,16934.29,397
